Parameter,Value,DOM,Description
FRADULENT_SWITCH,,<COB_PARAM>com.yodlee.core.fraudulent.switch.enabled,
ACCOUNT_ADDITION_MAX_LIMIT,,<COB_PARAM>com.yodlee.core.fraudulent.userSuspend.ifAccountAddition.maxLimit,
ACCOUNTS_IN_MAX_ERROR_LIMIT,,<COB_PARAM>com.yodlee.core.fraudulent.userSuspend.ifAccountsInError.maxLimit,
EDIT_RETRY_COUNT_LIMIT,,<COB_PARAM>com.yodlee.core.fraudulent.userSuspend.ifAccountEdit.maxLimit,
DERIVED_ACCOUNT_TYPE_RETRIEVAL_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.ITEM_SUMMARY.DERIVED_ACCOUNT_TYPE_RETRIEVAL.ENABLED,
RECONCILIATION_ENABLED,,<COB_PARAM>COM.YODLEE.CORE.REFRESH.BDF_HELD_AWAY_ACCOUNT.RECONCILIATION.ENABLED,
SUBSCRIPTION_ALLOWED_FOR_DATA_EXTRACTS,,<COB_PARAM>COM.YODLEE.CORE.DBFILER.VALIDATE_ITEM_SUMMARY_DATA_MODIFICATION.ENABLED,
SMALL_BUSINESS_ENABLED,,<COB_PARAM>com.yodlee.core.small_business.enabled,
DEFAULT_RECON_ACCT_TYPE,,<COB_PARAM>DEFAULT_RECON_ACCT_TYPE,
YSL_API_VERSION,,<COB_PARAM>COM.YODLEE.CORE.YSL.API_VERSION,
REFRESH_REQ_TIME_LIMIT,,<COB_PARAM>com.yodlee.core.refresh.non_generic_request_time_limit,
FIRST_TIME_TXN_DURATION,,<COB_PARAM>com.yodlee.core.aggregation.transactions.first_time_txn_duration,
IS_FSA_HSA_KEY_ENABLE,,<COB_PARAM>COM.YODLEE.CORE.ENABLE_CUSTOM_YSL_RESPONSE_FOR_SEQUOIA,
LOST_INSTANTUPDATE_TIMEOUT,,<COB_PARAM>com.yodlee.core.refresh.lost_instantupdate_timeout,
SENSITIVE_INFORMATION,,<COB_PARAM>COM.YODLEE.CORE.TRANSACTION_SEARCH.STRIP_OFF_SENSITIVE_INFORMATION,
