Entity,Attribute,Qualifier,Reference,DOM,Type,Default,Editable,Validation,Description,,,,,,
LoginForm,,,,,,,,,,,,,,,
,id,,,loginFormId,,,,,,,,,,,
,help,,,,,,,,Text to guide user while providing Login details,,,,,,
,loginHelp,,,,,,,,Text to guide user while providing Login details,,,,,,
,forgetPasswordURL,,,,,,,,Hyperlink to the forget password,,,,,,
,row,,,rows,<ENTITY>[]LoginFormRow,,,,,,,,,,
,helpTitle,,,,,FALSE,,The title for the help text available. This is usually not sent except during MFA flow and is same as what is shown on the provider site.,,,,,,,mfaRefreshInfo.otpHelp.title
,mfaInfo,,,,,FALSE,,Text to provide information to user about the MFA step. Difference between this and help is - help more of guidance where as info is more of content as shown to the user on the website during MFA prompt - typically shown above the login form - for ex: OTP might take time to deliver or something like that.,,,,,Added for MFA flow,,mfaRefreshInfo.otpInfo.infoText
,mfaInfoTitle,,,,,FALSE,,The information title as shown on the provider site during MFA step.,,,,,Added for MFA flow,,mfaRefreshInfo.otpInfo.title
,formType,,,,,FALSE,,"This will indicate whether the type of form that is presented for authentication during the add/edit/refresh - login, tokenId,image,questionAndAnswer",,,,,Added for MFA flow,,"if Login Form then login,else if fieldInfo.mfaFieldInfoType=token then token else if image then image else if SECURITY_QUESTION then questionAndAnswer"
,mfaTimeout,,,,,FALSE,,The max allowed time that the user has to provide the MFA information. Mostly can be shown as a countdown to user in the form.,,,,,Added for MFA flow,,mfaRefreshInfo.timeOutTime
,,,,,,,,,,,,,,,
LoginFormRow,,,,LoginFieldRow,,,,,,,,,,,
,id,,,loginFieldRowId,,,,,Unique Identifier for Field Row,,,,,,
,label,,,,,,,,Text to be shown as a Label for the Field Row - indicating what credentials the user need to provide.,,,,,,
,field,,,fields,<ENTITY>[]LoginField,,,,,,,,,,
,fieldRowChoice,,,fieldRowGroup,,,,,,,,,,,
,form,,,subForm,,,,,,,,,,,
,help,,,,,,,,,,,,,,
,isMfaFieldRow,,,,,,,,,,,,,,
,rowCriteria,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LoginField,,,,LoginFieldMap,,,,,,,,,,,
,id,,,loginFieldMapId,,,,,Unique identifier for the login field. This will be used as key to return back in response when user providers the credentials (value),,,,,,
,name,,,fieldType,,,,,Name of the field,,,,,,
,type,,,typeExt,,,,,Type of the field,,,,,,
,size,,,fieldDisplaySize,,,,,Input element Display size allowed,,,,,,
,minLength,,,,,,,,The minimum number of characters that can be provided by the user for this field,,,,Added for MFA,,"image=fieldInfo.minLength,token=fieldInfo.minLength"
,maxLength,,,maxlength,,,,,The minimum number of characters that can be provided by the user for this field,,,,,,
,isOptional,,,optionalExt,,,,,Determines if a field is mandatory,,,,,,
,option,,,options,<ENTITY>[],,,,Options available for dropdown and radio input types,,,,,,
,validation,,,validations,<ENTITY>[],,,,Validation,,,,,,
,value,,,,,,,,"In case of an already linked account, the value entered by the consumer.",,,,,,
,valueEditable,,,valueEditableExt,,,,,Wether the value is editable or not. The field will not be editable ifthis field is autogenerated.,,,,,,
,prefix,,,,,,,,The prefix label that needs to be shown before the login field if available,,,,,,
,suffix,,,,,,,,The suffix label that needs to be shown after the login field if available,,,,,,
,image,,,,,,,,Captcha image in case of MFA site,,,,Added for MFA,,image=fieldInfo.image; QE to test it
,,,,,,,,,,,,,,,
Validation,,,,lfValidationRule,,,,,,,,,,,
,regExp,,,validationExpr,,,,,The option value used in the HTML,,,,,,
,errorMsg,,,errorMsg,,,,,The option display text as shown to the user,,,,,,
,,,,,,,,,,,,,,,
Option,,,,SiteDropDown,,,,,,,,,,,
,optionValue,,,siteDdValue,,,,,The option value used in the HTML,,,,,,
,displayText,,,,,,,,The option display text as shown to the user,,,,,,
,,,,,,,,,,,,,,,
AdditionalDataSet,,,,,,,,,,,,,,,
,name,,,,,,,,,,,,,,
,attribute,,,AdditionalDataSetAttributes,,,,,,,,,,,
,,,,,,,,,,,,,,,
AdditionalDataSetAttributes,,,,,,,,,,,,,,,
,name,,,,,,,,,,,,,,
,container,,,,,,,,,,,,,,
,containerAttribute,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Capability,,,,,,,,,,,,,,,
,name,,,,,,,,,,,,,,
,container,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LocalizedProviderAttributes,,,,LocalizedSiteAttributes,,,,,,,,,,,
,id,,,localeId,,,,,Locale ID Supported,,,,,,
,countryISOCode,,,,,,,,Country supported,,,,,,
,languageISOCode,,,,,,,,Language supported,,,,,,
,name,,,,,,,,,,,,,,
,nameWithCountry,,,,,,,,,,,,,,
,loginURL,,,loginUrl,,,,,,,,,,,
,baseURL,,,baseUrl,,,,,,,,,,,
,help,,,,,,,,,,,,,,
,forgetPasswordURL,,,,,,,,,,,,,,
,loginHelp,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ProviderAccount,,,,MemSiteAcc,,,,,,,,,,,
,id,,,memSiteAccId,,,,,,,,,,,
,providerId,,,siteId,,,,,,,,,,,
,,,,,,,,,,,,,,,
MemAcc,,,,,,,,,,,,,,,
,id,,,memAccId,,,,,,,,,,,
,name,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ContainerSupportedAttribute,,,,,,,,,,,,,,,
,noOfDays,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
AdditionalInformation,,,,,,,,,,,,,,,
,notes,,,,,,,,,,,,,,
,informationType,,,,,,,,,,,,,,
,disabledReason,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ContainerAttributes,,,,,,,,,,,,,,,
,id,,,,,,,,,,,,,,
,name,,,,,,,,,,,,,,
,status,,,,,,,,,,,,,,
,isAutoRefreshEnabled,,,,,,,,,,,,,,
,numberOfTransactionDays,,,,,,,,,,,,,,
,agentName,,,,,,,,,,,,,,
,eligibilityStatus,,,,,,,,,,,,,,
,additionalInformation,,,AdditionalInformation,,,,,,,,,,,
,lastModified,,,,,,,,,,,,,,
